"id","name"
2202,"Fahrad Rachidi-Haeri"
2203,"Aleksandra Radenovic"
2204,"Katja Raesaenen"
2205,"Christoph Raible"
2207,"Hans Ramseier"
2208,"Martin Raubal"
2209,"Sebastian Rausch"
2210,"Karl Reber"
2211,"Martine Rebetez"
2212,"Dario Redaelli"
2213,"Peter Reichert"
2214,"Beat Reidy"
2215,"Stefan Reimann"
2216,"Didier Reinhardt"
2217,"Nils Reinke"
2218,"Philippe Renard"
2219,"Philippe Renaud"
2220,"Doris Rentsch"
2221,"Philippe Rentzel"
2222,"Patrick Rérat"
2223,"Christian Reutlinger"
2224,"Philippe Reymond"
2225,"Emmanuel Reynard"
2226,"Hansueli Rhyner"
2227,"Jean-Marc Ribi"
2228,"Walter Richner"
2229,"Jörg Rieckermann"
2230,"Daniel Rigling"
2231,"Andrea Rinaldo"
2232,"Christoph Ringli"
2233,"Anita Christina Risch"
2234,"Davide Rivola"
2235,"Waterhouse Robert"
2236,"Frédéric Robert-Nicoud"
2237,"Johan O. A. Robertsson"
2238,"Nicolas Robin"
2239,"Christopher Robinson"
2240,"Marc Robinson-Rechavi"
2241,"Davide Rodogno"
2242,"Ursula Roethlisberger"
2243,"Christian Rohr"
2244,"Rudolph P. Rohr"
2245,"Jürg Rohrer"
2246,"Jörg Romeis"
2247,"Neria Römer"
2248,"Isabelle Romy"
2249,"Martin Röösli"
2250,"Thomas Rösgen"
2251,"Christian Rosset"
2252,"Johannes Rösti"
2253,"Peter Rotach"
2254,"Markus Rothacher"
2255,"Alexandre Roulin"
2257,"Jean Ruegg"
2258,"Alfred Rufer"
2259,"Dominique Ruffieux"
2260,"Reto Rupf"
2261,"Marco Ryter"
2262,"Nicolas Salamin"
2263,"Ian Sanders"
2264,"Carmen Sandi"
2265,"Giovanni Sansavini"
2266,"Osmann Sari"
2267,"Michel Sartori"
2268,"Jean-Louis Scartezzini"
2269,"Peter Schaber"
2270,"Christian Schader"
2271,"Michael Schaepman"
2272,"Gabriela Schaepman-Strub"
2274,"Santiago Schaerer"
2275,"Yolanda Schaerli"
2276,"Mike Schäfer"
2277,"Urs Schaffner"
2278,"Christoph Schaltegger"
2279,"Urs Schaltegger"
2280,"Hans Schaltenbrand"
2281,"Christoph Schär"
2282,"Primo Schär"
2283,"Marcus Schaub"
2284,"Roland Schegg"
2285,"Christoph Scheidegger"
2286,"Kurt Schenk"
2287,"Roland Scherwey"
2288,"Florian Schiestl"
2289,"Benjamin Schindler"
2290,"Christian Schindler"
2291,"Konrad Schindler"
2292,"Kristin Schirmer"
2293,"Mario Schirmer"
2294,"Johannes Schittny"
2295,"Anton Schleiss"
2296,"Angela Schlumbaum"
2297,"Fritz Schlunegger"
2298,"Stefan Schmalholz"
2299,"Emanuel Schmassmann"
2300,"Hato Schmeiser"
2301,"Bernhard Schmid"
2302,"Christian Schmid"
2303,"Martin Schmid"
2304,"Sergio Schmid"
2305,"Paul Schmid-Hempel"
2306,"Jürgen Schmidhuber"
2307,"Benedikt R. Schmidt"
2308,"Hans-Peter Schmidt"
2309,"Max W. Schmidt"
2310,"Michael W.I. Schmidt"
2311,"Armin Schmutzler"
2312,"Martin Schneebeli"
2313,"Andreas Schneider"
2314,"Gerhard Schneider"
2315,"Hansruedi Schneider"
